countryname,yr2012
Afghanistan,19907317065.6666
Albania,12319830437.3467
Algeria,209058991952.125
American Samoa,640000000
Andorra,3188808942.56713
Angola,128052853643.106
Antigua and Barbuda,1199948148.14815
Argentina,545982375701.128
Armenia,10619320048.5857
Aruba,2534636871.50838
Australia,1546508558465.66
Austria,409425234155.263
Azerbaijan,69683935845.2139
"Bahamas, The",10720500000
Bahrain,30749308510.6383
Bangladesh,133355749482.478
Barbados,4610000000
Belarus,65685102554.8759
Belgium,496181260258.3
Belize,1522897506.07849
Benin,11141358945.1349
Bermuda,6378188000
Bhutan,1781281281.57912
Bolivia,27084497482.8616
Bosnia and Herzegovina,17221192466.1918
Botswana,14380004175.1194
Brazil,2465228293894.01
Brunei Darussalam,19047940300.8963
Bulgaria,54300857424.4415
Burkina Faso,12561016091.4673
Burundi,2333308099.46249
Cabo Verde,1741809808.96442
Cambodia,14054443213.4639
Cameroon,30155064574.0734
Canada,1828366481521.6
Cayman Islands,4291159006.36025
Central African Republic,2510126699.05356
Chad,12367363677.6199
Chile,267122320056.702
China,8532229986993.65
Colombia,370921320483.842
Comoros,1015843368.79008
"Congo, Dem. Rep.",29306235826.3885
"Congo, Rep.",17693924573.2499
Costa Rica,47231651862.8224
Cote d'Ivoire,36302305578.306
Croatia,57192346923.335
Cuba,73141000000
Curacao,3131096089.38547
Cyprus,24978513426.6992
Czech Republic,208857719320.649
Denmark,327148943812.137
Djibouti,1353632941.5207
Dominica,485996296.296296
Dominican Republic,60681537195.7996
Ecuador,87924544000
"Egypt, Arab Rep.",279116666666.667
El Salvador,21386150000
Equatorial Guinea,22388344123.9916
Estonia,23020466784.6112
Eswatini,4886533032.88672
Ethiopia,43310721414.0829
Faroe Islands,2366301251.61847
Fiji,3972012570.53467
Finland,258304834621.605
France,2683825225092.63
Gabon,17170465294.0332
"Gambia, The",1415006238.09509
Georgia,16488403076.3641
Germany,3527344944139.83
Ghana,41270954737.2459
Greece,242043151399.458
Greenland,2609667673.71601
Grenada,799882259.259259
Guam,5265000000
Guatemala,49593961141.7484
Guinea,7638045254.42864
Guinea-Bissau,989271229.637162
Guyana,4063089191.87525
Haiti,13708926466.2732
Honduras,18400538859.3598
"Hong Kong SAR, China",262629441493.476
Hungary,128857370476.631
Iceland,14751508133.5443
India,1827637859135.7
Indonesia,917869910105.749
"Iran, Islamic Rep.",598868460912.847
Iraq,218002481737.691
Ireland,225509709550.982
Isle of Man,6690725118.48341
Israel,258417104163.53
Italy,2087077032435.15
Jamaica,14807086889.2099
Japan,6272362996105.03
Jordan,31634561690.1408
Kazakhstan,207998568865.789
Kenya,56396706005.9435
Kiribati,190243432.813514
"Korea, Rep.",1278427634342.59
Kosovo,6163785172.81254
Kuwait,174070382279.385
Kyrgyz Republic,6605139933.41063
Lao PDR,10192848926.2582
Latvia,28169902669.3784
Lebanon,44035991893.0218
Lesotho,2477702252.80078
Liberia,2791614000
Libya,81873662518.8238
Liechtenstein,5456009384.66461
Lithuania,42927454291.478
Luxembourg,59779802783.3455
"Macao SAR, China",43189526777.5567
Madagascar,11578974887.9668
Malawi,6028487928.83351
Malaysia,314443149443.149
Maldives,2886170571.69634
Mali,12442036265.1484
Malta,9462238211.48657
Marshall Islands,180436300
Mauritania,6728208836.22143
Mauritius,11668685524.1265
Mexico,1201089987015.45
"Micronesia, Fed. Sts.",327248700
Moldova,8709165249.26928
Monaco,5743029680.07195
Mongolia,12292770631.1967
Montenegro,4087725812.66864
Morocco,98266306615.3632
Mozambique,16350804543.0515
Myanmar,113590973920.203
Namibia,13042007432.4489
Nauru,96927201.4848422
Nepal,21703106502.4926
Netherlands,838971306990.906
New Caledonia,9659151908.65882
New Zealand,176206659722.524
Nicaragua,10532006608.1447
Niger,9426913349.22319
Nigeria,455501524575.498
North Macedonia,9745251126.0109
Northern Mariana Islands,746000000
Norway,509506317146.541
Oman,76511069704.3228
Pakistan,224383620829.57
Palau,212397800
Panama,40429734384.2184
Papua New Guinea,21295659243.6168
Paraguay,33296438306.4747
Peru,192648999090.082
Philippines,261920509949.785
Poland,498523568248.119
Portugal,216236608773.976
Puerto Rico,101564800000
Qatar,186833502362.637
Romania,170635805316.879
Russian Federation,2208295773643.15
Rwanda,7650300319.83
Samoa,760319276.013529
San Marino,1604779647.95066
Sao Tome and Principe,250680845.747837
Saudi Arabia,735974843360
Senegal,17660871725.9977
Serbia,43309252921.0567
Seychelles,1060226125.62616
Sierra Leone,3801862611.36414
Singapore,295087220933.024
Sint Maarten (Dutch part),985865921.787709
Slovak Republic,94258572686.2287
Slovenia,46580457470.2769
Solomon Islands,1190994126.60431
South Africa,434400545085.811
South Sudan,11931472169.4915
Spain,1324820091194.67
Sri Lanka,68434409315.1123
St. Kitts and Nevis,800414814.814815
St. Lucia,1605146777.77778
St. Vincent and the Grenadines,692933333.333333
Sudan,37632919966.6667
Suriname,4980000000
Sweden,552483727282.802
Switzerland,692109693986.886
Syrian Arab Republic,42807315975.5342
Tajikistan,7633049792.09321
Tanzania,39650530214.3287
Thailand,397558222957.17
Timor-Leste,1160389500
Togo,3873308389.30006
Tonga,470714083.426751
Trinidad and Tobago,25763220107.0051
Tunisia,47311196335.2884
Turkey,880556375779.51
Turkmenistan,35164210526.3158
Turks and Caicos Islands,727161000
Tuvalu,37671774.6945537
Uganda,27305915761.2794
Ukraine,182592416468.527
United Arab Emirates,374590605854.323
United Kingdom,2719158341005.79
United States,16197007349000
Uruguay,51264390116.4909
Uzbekistan,67517349212.0609
Vanuatu,747839697.746593
"Venezuela, RB",381286237847.667
Vietnam,155820001920.492
Virgin Islands (U.S.),4089000000
West Bank and Gaza,12208400000
"Yemen, Rep.",35401341663.0425
Zambia,25503060420.026
Zimbabwe,17114849900
Africa Eastern and Southern,949849051927.147
Africa Western and Central,727571396578.054
Arab World,2728987909781.9
Caribbean small states,72051115323.7984
Central Europe and the Baltics,1353324521612.03
Early-demographic dividend,10151489375461.8
East Asia & Pacific,21187106532693
East Asia & Pacific (excluding high income),10774468160208.7
East Asia & Pacific (IDA & IBRD countries),10760615671768.1
Euro area,12638916806936.3
Europe & Central Asia,22463014714476.1
Europe & Central Asia (excluding high income),4085332511672.57
Europe & Central Asia (IDA & IBRD countries),4641048426844.03
European Union,14636917145741.3
Fragile and conflict affected situations,1792862802850.45
Heavily indebted poor countries (HIPC),578534050391.484
High income,49148185638834.9
IBRD only,25189109238990.8
IDA & IBRD total,27009287505004
IDA blend,900516869460.178
IDA only,919776287603.022
IDA total,1820182892460.81
Late-demographic dividend,17598957474090.2
Latin America & Caribbean,6150388245718.36
Latin America & Caribbean (excluding high income),5288238994746.05
Latin America & the Caribbean (IDA & IBRD countries),5942534525836.88
Least developed countries: UN classification,870580046892.79
Low & middle income,25826217907666.1
Low income,383756014291.367
Lower middle income,6285421589981.81
Middle East & North Africa,3546548065348.39
Middle East & North Africa (excluding high income),1699939010902.07
Middle East & North Africa (IDA & IBRD countries),1687730610902.07
Middle income,25443025238241.2
North America,18031752018521.6
OECD members,48580091683230.4
Other small states,414204036938.197
Pacific island small states,8186804963.31876
Post-demographic dividend,45736830487196.8
Pre-demographic dividend,1305769636134.07
Small states,494441957225.314
South Asia,2300089514184.29
South Asia (IDA & IBRD),2300089514184.29
Sub-Saharan Africa,1677242194703.11
Sub-Saharan Africa (excluding high income),1676182380343.25
Sub-Saharan Africa (IDA & IBRD countries),1677242194703.11
Upper middle income,19157603648259.3
World,75356012197819.8
,
,
,
,
,
